global_step,epoch,batch,step_loss
1,1,1,21.986092
2,1,2,21.995205
3,1,3,20.655874
4,1,4,20.139454
5,1,5,21.366547
6,1,6,20.713711
7,1,7,19.456112
8,1,8,21.85784
9,1,9,20.954685
10,1,10,18.920847
11,1,11,20.568588
12,1,12,21.591461
13,1,13,20.263647
14,1,14,22.111691
15,1,15,21.470974
16,1,16,21.658825
17,1,17,21.606133
18,1,18,21.19631
19,1,19,20.763681
20,1,20,21.226723
21,1,21,20.39603
22,1,22,22.032547
23,1,23,21.491993
24,1,24,21.809658
25,1,25,20.758572
26,1,26,19.510313
27,1,27,20.957386
28,1,28,20.283703
29,1,29,21.375504
30,1,30,21.737743
31,1,31,20.354877
32,1,32,20.253302
33,1,33,20.715614
34,1,34,20.602682
35,1,35,20.774767
36,1,36,21.053696
37,1,37,22.235662
38,1,38,21.311201
39,1,39,21.470509
40,1,40,20.702644
41,1,41,21.662603
42,1,42,20.386869
43,1,43,21.821507
44,1,44,19.908478
45,1,45,21.395321
46,1,46,21.047596
47,1,47,21.838421
48,1,48,21.656319
49,1,49,21.863708
50,1,50,21.846905
51,1,51,20.920378
52,1,52,21.935659
53,1,53,20.248337
54,1,54,21.353163
55,1,55,20.727886
56,1,56,21.770145
57,1,57,20.38903
58,1,58,21.34547
59,1,59,20.056171
60,1,60,20.930227
61,1,61,21.215065
62,1,62,20.59399
63,1,63,19.679947
64,1,64,20.516823
65,1,65,18.119293
66,1,66,21.226665
67,1,67,22.063477
68,1,68,20.30521
69,1,69,19.933289
70,1,70,21.375481
71,1,71,21.195675
72,1,72,20.52858
73,1,73,21.502998
74,1,74,19.604162
75,1,75,19.749689
76,1,76,21.093328
77,1,77,20.658726
78,1,78,19.167646
79,1,79,21.007179
80,1,80,21.151405
81,1,81,20.280518
82,1,82,20.555717
83,1,83,20.580612
84,1,84,20.326937
85,1,85,21.034338
86,1,86,20.266872
87,1,87,20.613533
88,1,88,20.882362
89,1,89,21.241966
90,1,90,19.153912
91,1,91,20.59141
92,1,92,20.74918
93,1,93,19.823376
94,1,94,20.424732
95,1,95,20.989716
96,1,96,20.151402
97,1,97,21.024357
98,1,98,21.198217
99,1,99,19.357979
100,1,100,19.120041
101,1,101,20.490013
102,1,102,20.486977
103,1,103,20.482534
104,1,104,20.007439
105,1,105,18.59683
106,1,106,20.394199
107,1,107,20.343822
108,1,108,19.629961
109,1,109,17.890795
110,1,110,20.111334
111,1,111,21.369291
112,1,112,20.708298
113,1,113,20.16942
114,1,114,20.145966
115,1,115,20.523712
116,1,116,18.402424
117,1,117,20.383453
118,1,118,20.194344
119,1,119,19.689848
120,1,120,20.737995
121,1,121,19.579889
122,1,122,20.016754
123,1,123,18.792772
124,1,124,19.926071
125,1,125,19.958441
126,1,126,20.324492
127,1,127,20.666821
128,1,128,19.912519
129,1,129,19.053551
130,1,130,21.347464
131,1,131,19.387758
132,1,132,19.551788
133,1,133,19.342857
134,1,134,20.15259
135,1,135,20.428524
136,1,136,20.49135
137,1,137,19.329262
138,1,138,20.131512
139,1,139,19.384647
140,1,140,20.878242
141,1,141,20.388355
142,1,142,19.076008
143,1,143,20.297806
144,1,144,19.504004
145,1,145,18.803116
146,1,146,19.757835
147,1,147,18.729334
148,1,148,19.705299
149,1,149,19.948547
150,1,150,18.961391
151,1,151,19.754133
152,1,152,19.027971
153,1,153,20.465046
154,1,154,20.296085
155,1,155,18.959484
156,1,156,19.559254
157,1,157,19.493662
158,1,158,20.654577
159,1,159,18.834377
160,1,160,18.553291
161,1,161,19.411411
162,1,162,18.626989
163,1,163,20.830921
164,1,164,19.277485
165,1,165,19.607561
166,1,166,19.391434
167,1,167,18.832169
168,1,168,18.118521
169,1,169,19.701836
170,1,170,19.183601
171,1,171,18.93038
172,1,172,17.946743
173,1,173,19.136017
174,1,174,19.012085
175,1,175,18.639549
176,1,176,19.823605
177,1,177,18.05213
178,1,178,19.588333
179,1,179,18.364077
180,1,180,19.102085
181,1,181,19.632416
182,1,182,18.747709
183,1,183,18.926638
184,1,184,18.677431
185,1,185,20.163696
186,1,186,18.742222
187,1,187,17.722464
188,1,188,19.536598
189,1,189,19.040447
190,1,190,19.54567
191,1,191,19.523312
192,1,192,18.305428
193,1,193,18.077532
194,1,194,18.855955
195,1,195,18.16926
196,1,196,18.719027
197,1,197,18.774712
198,1,198,19.11915
199,1,199,18.657703
200,1,200,17.866339
201,1,201,19.079472
202,1,202,17.820177
203,1,203,17.75251
204,1,204,17.479492
205,1,205,18.817371
206,1,206,19.801949
207,1,207,17.57118
208,1,208,17.702951
209,1,209,18.134081
210,1,210,17.738968
211,1,211,18.925728
212,1,212,18.972557
213,1,213,17.408743
214,1,214,17.961588
215,1,215,17.441711
216,1,216,18.230768
217,1,217,18.347488
218,1,218,17.947201
219,1,219,17.553852
220,1,220,18.198273
221,1,221,18.112915
222,1,222,17.977013
223,1,223,17.525513
224,1,224,18.272408
225,1,225,18.375687
226,1,226,18.699551
227,1,227,17.180172
228,1,228,18.675301
229,1,229,17.943281
230,1,230,17.443066
231,1,231,16.39209
232,1,232,18.271412
233,1,233,18.119804
234,1,234,17.549793
235,1,235,17.170948
236,1,236,16.7876
237,1,237,17.36599
238,1,238,16.85924
239,1,239,16.690598
240,1,240,17.450325
241,1,241,17.901138
242,1,242,17.375608
243,1,243,15.590345
244,1,244,17.012951
245,1,245,16.299274
246,1,246,18.142992
247,1,247,18.068356
248,1,248,16.805758
249,1,249,17.488018
250,1,250,17.245945
251,1,251,17.025229
252,1,252,15.890909
253,1,253,16.794197
254,1,254,17.456512
255,1,255,16.888353
256,1,256,16.158306
257,1,257,16.994781
258,1,258,16.845684
259,1,259,16.584425
