[2026-06-27 17:40:35] [Data] train_images=50000, train_samples=150000, val_images=4500, val_samples=13500, test_images=500, test_samples=500, test_refs=2504
[2026-06-27 17:40:41] Run started. Results dir: results/full/20260627_174033
[2026-06-27 17:40:41] Run mode: full. Baseline checkpoint: ./image-captioning-full. Exit checkpoint dir: ./checkpoint/intermediate_head_weights_full
[2026-06-27 17:40:52] [Baseline] step=20, epoch=1, batch=20, step_loss=3.668571
[2026-06-27 17:41:03] [Baseline] step=40, epoch=1, batch=40, step_loss=3.247417
[2026-06-27 17:41:14] [Baseline] step=60, epoch=1, batch=60, step_loss=3.046862
[2026-06-27 17:41:24] [Baseline] step=80, epoch=1, batch=80, step_loss=2.918113
[2026-06-27 17:41:35] [Baseline] step=100, epoch=1, batch=100, step_loss=3.779233
[2026-06-27 17:41:45] [Baseline] step=120, epoch=1, batch=120, step_loss=3.868052
[2026-06-27 17:41:56] [Baseline] step=140, epoch=1, batch=140, step_loss=3.810853
[2026-06-27 17:42:06] [Baseline] step=160, epoch=1, batch=160, step_loss=2.505965
[2026-06-27 17:42:17] [Baseline] step=180, epoch=1, batch=180, step_loss=3.239020
[2026-06-27 17:42:27] [Baseline] step=200, epoch=1, batch=200, step_loss=2.883479
[2026-06-27 17:42:38] [Baseline] step=220, epoch=1, batch=220, step_loss=3.388019
[2026-06-27 17:42:48] [Baseline] step=240, epoch=1, batch=240, step_loss=3.085473
[2026-06-27 17:42:59] [Baseline] step=260, epoch=1, batch=260, step_loss=2.905300
[2026-06-27 17:43:09] [Baseline] step=280, epoch=1, batch=280, step_loss=3.427705
[2026-06-27 17:43:20] [Baseline] step=300, epoch=1, batch=300, step_loss=3.066636
[2026-06-27 17:43:31] [Baseline] step=320, epoch=1, batch=320, step_loss=3.241481
[2026-06-27 17:43:41] [Baseline] step=340, epoch=1, batch=340, step_loss=3.653216
[2026-06-27 17:43:52] [Baseline] step=360, epoch=1, batch=360, step_loss=2.378435
[2026-06-27 17:44:02] [Baseline] step=380, epoch=1, batch=380, step_loss=2.866981
[2026-06-27 17:44:13] [Baseline] step=400, epoch=1, batch=400, step_loss=2.935466
[2026-06-27 17:44:23] [Baseline] step=420, epoch=1, batch=420, step_loss=2.783471
[2026-06-27 17:44:34] [Baseline] step=440, epoch=1, batch=440, step_loss=2.818473
[2026-06-27 17:44:44] [Baseline] step=460, epoch=1, batch=460, step_loss=2.957948
[2026-06-27 17:44:55] [Baseline] step=480, epoch=1, batch=480, step_loss=3.126190
[2026-06-27 17:45:05] [Baseline] step=500, epoch=1, batch=500, step_loss=2.840087
[2026-06-27 17:45:16] [Baseline] step=520, epoch=1, batch=520, step_loss=3.388144
[2026-06-27 17:45:27] [Baseline] step=540, epoch=1, batch=540, step_loss=3.861404
[2026-06-27 17:45:37] [Baseline] step=560, epoch=1, batch=560, step_loss=3.199037
[2026-06-27 17:45:48] [Baseline] step=580, epoch=1, batch=580, step_loss=3.284065
[2026-06-27 17:45:58] [Baseline] step=600, epoch=1, batch=600, step_loss=3.060605
[2026-06-27 17:46:09] [Baseline] step=620, epoch=1, batch=620, step_loss=2.554423
[2026-06-27 17:46:19] [Baseline] step=640, epoch=1, batch=640, step_loss=2.463728
[2026-06-27 17:46:30] [Baseline] step=660, epoch=1, batch=660, step_loss=2.723336
[2026-06-27 17:46:40] [Baseline] step=680, epoch=1, batch=680, step_loss=2.475478
[2026-06-27 17:46:51] [Baseline] step=700, epoch=1, batch=700, step_loss=2.338758
[2026-06-27 17:47:01] [Baseline] step=720, epoch=1, batch=720, step_loss=2.605493
[2026-06-27 17:47:12] [Baseline] step=740, epoch=1, batch=740, step_loss=2.542575
[2026-06-27 17:47:22] [Baseline] step=760, epoch=1, batch=760, step_loss=2.396062
[2026-06-27 17:47:33] [Baseline] step=780, epoch=1, batch=780, step_loss=2.293204
[2026-06-27 17:47:44] [Baseline] step=800, epoch=1, batch=800, step_loss=2.934344
[2026-06-27 17:47:54] [Baseline] step=820, epoch=1, batch=820, step_loss=3.179503
[2026-06-27 17:48:05] [Baseline] step=840, epoch=1, batch=840, step_loss=3.466359
[2026-06-27 17:48:15] [Baseline] step=860, epoch=1, batch=860, step_loss=2.100003
[2026-06-27 17:48:26] [Baseline] step=880, epoch=1, batch=880, step_loss=2.912051
[2026-06-27 17:48:36] [Baseline] step=900, epoch=1, batch=900, step_loss=2.516036
[2026-06-27 17:48:47] [Baseline] step=920, epoch=1, batch=920, step_loss=2.679441
[2026-06-27 17:48:57] [Baseline] step=940, epoch=1, batch=940, step_loss=3.139258
[2026-06-27 17:49:08] [Baseline] step=960, epoch=1, batch=960, step_loss=3.614467
[2026-06-27 17:49:19] [Baseline] step=980, epoch=1, batch=980, step_loss=2.794356
[2026-06-27 17:49:29] [Baseline] step=1000, epoch=1, batch=1000, step_loss=2.288240
[2026-06-27 17:49:40] [Baseline] step=1020, epoch=1, batch=1020, step_loss=3.457380
[2026-06-27 17:49:50] [Baseline] step=1040, epoch=1, batch=1040, step_loss=3.527980
[2026-06-27 17:50:01] [Baseline] step=1060, epoch=1, batch=1060, step_loss=2.627923
[2026-06-27 17:50:11] [Baseline] step=1080, epoch=1, batch=1080, step_loss=2.878422
[2026-06-27 17:50:22] [Baseline] step=1100, epoch=1, batch=1100, step_loss=2.742478
[2026-06-27 17:50:32] [Baseline] step=1120, epoch=1, batch=1120, step_loss=2.772966
[2026-06-27 17:50:43] [Baseline] step=1140, epoch=1, batch=1140, step_loss=2.662189
[2026-06-27 17:50:53] [Baseline] step=1160, epoch=1, batch=1160, step_loss=2.915152
[2026-06-27 17:51:04] [Baseline] step=1180, epoch=1, batch=1180, step_loss=2.953300
[2026-06-27 17:51:14] [Baseline] step=1200, epoch=1, batch=1200, step_loss=2.473205
[2026-06-27 17:51:25] [Baseline] step=1220, epoch=1, batch=1220, step_loss=3.197931
[2026-06-27 17:51:36] [Baseline] step=1240, epoch=1, batch=1240, step_loss=3.412522
[2026-06-27 17:51:46] [Baseline] step=1260, epoch=1, batch=1260, step_loss=3.009689
[2026-06-27 17:51:57] [Baseline] step=1280, epoch=1, batch=1280, step_loss=2.564993
[2026-06-27 17:52:07] [Baseline] step=1300, epoch=1, batch=1300, step_loss=2.246037
[2026-06-27 17:52:18] [Baseline] step=1320, epoch=1, batch=1320, step_loss=2.363581
[2026-06-27 17:52:28] [Baseline] step=1340, epoch=1, batch=1340, step_loss=4.169872
[2026-06-27 17:52:39] [Baseline] step=1360, epoch=1, batch=1360, step_loss=1.960501
[2026-06-27 17:52:49] [Baseline] step=1380, epoch=1, batch=1380, step_loss=2.581815
[2026-06-27 17:53:00] [Baseline] step=1400, epoch=1, batch=1400, step_loss=3.013899
[2026-06-27 17:53:10] [Baseline] step=1420, epoch=1, batch=1420, step_loss=3.099227
[2026-06-27 17:53:21] [Baseline] step=1440, epoch=1, batch=1440, step_loss=2.584985
[2026-06-27 17:53:31] [Baseline] step=1460, epoch=1, batch=1460, step_loss=2.247480
